Ticket_ID,Customer_Email,Customer_Name,Topic,Channel,Agent_Name,CSAT_Score,Priority,Created_Date,Resolved_Date,Resolution_Hours,Status
TKT-34418,nhobbs@example.org,Donna Williamson,Billing,,Bot,1,Low,2025-08-06,2025-06-03,48.87,Resolved
TKT-74746,ycohen@example.net,,Billing,,Bot,1,Medium,2025-05-05,2025-11-11,,In Progress
TKT-77055,,Monique Armstrong,Refund,Social Media,,2,Medium,2025-08-29,2025-07-03,33.01,In Progress
TKT-98789,yolanda32@example.org,Christy Horne,Billing,Email,Kelsey,5,Medium,2025-03-26,2025-03-05,34.91,Closed
TKT-45914,nvillarreal@example.org,,Feature Request,Phone,John,,Medium,2025-06-29,2025-01-15,11.58,In Progress
TKT-32285,juliabrown@example.net,Kimberly Manning,Login Issue,Social Media,,4,Med,2025-02-18,2025-10-03,2.46,Resolved
TKT-70337,wpollard@example.com,Mary Smith,,Phone,,5,High ,2025-03-25,2025-11-14,39.89,In Progress
TKT-46785,amywilliams@example.net,,Technical Support,Phone,Bot,2,High,2025-11-28,2025-10-14,66.85,Closed
TKT-63069,stacie83@example.org,Ellen Ingram,Login Issue,Chat,,3,Low,2025-04-05,2025-08-14,,Closed
,antoniochapman@example.com,Daniel Cooper,,Pigeon Carrier,Mariah,4,Med,,,42.14,Closed
TKT-48991,sara52@example.org,Nicholas Jackson,Feature Request,,Sandra,4,High,2025-06-07,2025-04-27,,Escalated
,snydersteven@example.net,Bill White,Login Issue,Chaat,Heather,2,Medium,2025-01-14,2025-05-29,65.47,Open
TKT-59660,smithscott@example.com,Miranda Jackson,Login Issue,Email,Taylor,4,Medium,2025-08-07,2025-10-21,37.07,Closed
TKT-12416,mayjeremy@example.net,Nina Brandt,Technical Support,Email,,3,Urgent,2025-05-03,,46.75,Open
TKT-68705,benjaminpollard@example.net,Ashley Parker,Billing,Phone,,4,L,2025-02-26,,44.1,Closed
TKT-34016,alansullivan@example.org,Jamie Gates,Feature Request,Phone,Ana,2,,2025-02-22,2025-05-20,,Resolved
TKT-18974,patricia08@example.org,Jeffery Lewis,Billing,Email,,3,Low,,2025-01-10,65.03,Open
TKT-91754,,Kim Warner,Refund,Emaail,Brandy,1,Urgent,2025-09-03,2025-08-01,1.13,Closed
TKT-25106,dawn71@example.com,Thomas L̩blanc,,Social Media,David,4,Urgent,2025-05-15,2025-05-13,,In Progress
TKT-76245,gilesdavid@example.net,,Billing,Social Media,,3,High,2025-11-25,2025-07-13,64.06,Open
TKT-10139,andrewcameron@example.org,Garrett Rhodes,Technical Support,Phone,Kayla,4,Medium,2025-10-25,2025-06-12,43.64,Escalated
TKT-50881,lrichardson@example.com,Melanie Keller,,Phone,Robert,5,H,2025-08-07,2025-06-10,57.36,Closed
TKT-85265,rebeccaperry@example.org,David Knight,Feature Request,Pigeon Carrier,Bot,3,Med ,2025-08-06,2025-04-08,28.7,Closed
TKT-15885,,Ricky Warren,Billing,Phone,Bot,4,Urgent,2025-01-31,2025-06-23,15.44,Escalated
TKT-84565,,Tanner Ellison,Refund,Pigeon Carrier,,1,Medium,,2025-06-18,61.22,Closed
TKT-74369,williammiller@example.net,Crystal Foster,,Email,Bot,3,Med,2025-07-07,2025-02-28,20.84,In Progress
TKT-84104,robertssusan@example.net,Taylor Wise,Login Issue,Email,,5,Urgent,2025-04-16,2025-04-14,48.7,Closed
,davidwilliamson@example.org,Angela Ortiz,Refund,Email,Bot,3,High,2025-07-13,2025-11-02,5.97,Open
TKT-10819,emelendez@example.net,Charles Mckinney,Feature Request,Chat,Kyle,1,Urgent,2025-01-20,2025-08-26,10.39,
TKT-54840,ericmccormick@example.com,,Refund,Pigeon Carrier,Bot,4,Urgent,2025-09-22,2025-04-06,1.99,
TKT-51748,mollychavez@example.org,Sara Hill,Technical Support,,,3,Urgent,2025-10-16,2025-07-06,19.18,In Progress
TKT-52561,mario45@example.org,Samantha Allen,Technical Support,Pigeon Carrier,Bot,2,High,2025-03-21,2025-01-06,,Closed
,ogriffin@example.org,Ann Smith,Refund,Social Media,Sara,5,Urgent,,2025-05-15,42.15,Escalated
TKT-87690,kayla20@example.com,,Refund,Email,,1,,,2025-03-13,12.98,In Progress
,,Rodney Price,,Social Media,,3,Medium,2025-06-11,2025-04-30,20.23,Open
TKT-93604,,Kristen Hartman,Refund,Phone,Douglas,2,H,2025-08-06,2025-08-04,34.12,Resolved
,garciaheather@example.com,Robert Rodriguez,Feature Request,Phone,,3,High ,,2025-06-25,50.68,Closed
,ubass@example.org,,Billing,Email,,4,Med,2025-10-05,2025-03-20,37.38,In Progress
TKT-95242,brenda83@example.com,Keith Gould,Login Issue,Email,,1,Low,2025-06-19,2025-03-12,47.36,Escalated
TKT-38719,raven24@example.com,Matthew Rojas,Billing,Email,,3,Med,,2025-04-14,10.71,
TKT-27142,stephanie89@example.net,Nichole Guerrero,Technical Support,Email,,1,High,,2025-02-18,,
TKT-80808,justinsmith@example.com,Lorraine Foster,,Pigeon Carrier,,1,High,2025-10-10,2025-01-12,67.04,In Progress
,jason19@example.org,Adam Green,Billing,,Shannon,3,Med,2025-08-09,2025-03-09,33.24,Open
TKT-50209,icunningham@example.net,Matthew Cunningham,Refund,Pigeon Carrier,Jonathan,5,Med,,2025-06-03,21.5,Closed
,,,,Chat,,4,Low,2025-06-17,2025-07-23,30.14,In Progress
TKT-70457,traviscampbell@example.org,,Login Issue,Chat,,4,Urgent,2025-05-21,2025-10-17,54.02,Closed
TKT-18582,carmen65@example.org,Karen Webb,Feature Request,Emaail,,5,Medium,2025-07-14,2025-03-19,,In Progress
TKT-88181,zmack@example.com,Jose Wilkinson,Technical Support,Sociaal Mediaa,Nicole,4,,,2025-05-20,16.42,Open
TKT-90119,ashepherd@example.com,Bryan Parker,Refund,Phone,Steven,4,Low,2025-02-25,2025-11-06,3.6,Resolved
TKT-26363,stephanie97@example.net,Lori Jackson,Feature Request,Email,Brian,3,Low,2025-04-08,2025-01-21,43.08,Escalated
TKT-33436,,,Login Issue,Pigeon Carrier,Bot,3,Med,2025-08-06,2025-07-11,33.14,Resolved
TKT-64796,matthew66@example.com,Dawn Wilson,Technical Support,Social Media,Bot,4,Med,2025-06-12,2025-06-21,34.5,Open
TKT-61544,barrettsarah@example.com,William Taylor,Feature Request,Email,,1,Urgent,2025-08-19,,1.53,
TKT-62028,,Renee Harrington,,Pigeon Carrier,Kristen,2,Med,2025-03-13,2025-05-21,69.42,Resolved
